840 512  514 180411113180 6153100111211111933341333334444444444343422334423332232333212211111111221113333333333223 50409282998998  34.403102 6192.5582761.069767  32.159421125     9.941222    10.192822     7.609453     8.009843311125.000005.0 2 25PUB05OCT2012
840 513  679 222411413180 6303100121111111111111111111444444344434321222322121111121111111121112112223333322222222 50007282998998  32.824977 7385.6199141.069767  30.684218025    15.146561    15.229491    12.046002    12.083621311170.000005.0 1 34PUB05OCT2012
840 514  432 216411422178 7453 90121111111112111111111444423333333333334322222243241411311111111111112232333233132 50225282998998  31.248232 7187.0934031.069767  29.210304026    15.146561    13.486361     7.609453     8.009843311379.500005.0 7 35PUB05OCT2012
840 515  783 219412113185 6103 44123333234332344212233443343343431133333422223132323322211111211331113232333222222 50119282998998  29.692304 7126.1528601.069767  27.755849126     9.099462     8.408712     8.410613     8.347173321140.833335.0 1 45PUB05OCT2012
840 516  650 234493213187 6 03150121222333212222222232433232323332322234432233233333322211111111221123333323322233 50421282998998  28.509343 4846.5883061.069767  26.650038127     9.813672     9.889872     9.141663     7.706173911122.000005.0 1 45PUB05OCT2012
840 517  580 219415133182 7153 75114423444333444333444444442234341432223554342242242313411121112122222333333333232 50470282998998  27.417031 3920.6354701.069767  25.628964027     7.248423     7.261373     9.141663     7.706173321319.500005.0 1 45PUB05OCT2012
840 518  745 245412113185 8 03 60112223332222222222222333333333333322222222333333333333311111111331112222222222222 50364282998998  26.503130 4664.5508801.069767  24.774665128     9.690792     9.618012    11.374092     7.410903321480.000005.0 1 45PUB05OCT2012
840 519  741 237412223180 7 03 20121211111332211222213444444444343312214322222222222112211111111112223323332222223 50085282998998  25.556590 5903.5723221.069767  23.889856028    11.068402    10.913472    10.642012     9.483902331260.000005.0 1 54PUB05OCT2012
840 520  586 183411213180 5302 75223222243333323333333444444444442333334554223232222222211111111112223333333233122 50056282998998  24.846685 4969.3369951.069767  23.226249129     8.860002     8.966052     4.908713     8.74013231 990.000005.5 1 25PUB05OCT2012
840 521  900 260414113183 8 03 45112232223333322333333444444343334433334444344343433422212111111111112333323222133 50261282998998  24.093755 5011.5010061.069767  22.522423029     9.216942     9.226052     4.908713     6.567533331464.000005.0 1 45PUB05OCT2012
840 522  525 180414113187 7 03314112211112222222222222444444433333422323322222222211112311111111211122333333333333 50031282998998  11.616632 5622.4498541.069767  10.859026130    10.681252    10.705842     9.881652    10.093192311309.000005.0 7 55PUB05OCT2012
840 523 1100 265412113173 8 03100121111111112112222212444422344242411111221221111121211111111111111223333333333233 50062282998998  11.286822 3611.7830701.069767  10.550725030    11.297701    13.486361    15.568921    11.164732321384.000005.0 1 34PUB05OCT2012
840 524  660 298412433187 6 03150112222222222222222222433344232243333334433223222222222211121112212223333333333333 50452282998998  21.816601 7199.4782611.069767  20.393779131    10.072512    10.033712     6.596993     8.965382311122.000005.0 1 45PUB05OCT2012
840 525  880 278411233180 6 43105113334222232323232323443443332234111125523222221222112111121112132223333331232333 50313282998998  21.108688 6311.4975731.069767  19.732034031     8.980752     9.096692    10.642012     9.778222321092.000005.0 1 24PUB05OCT2012
840 526 1100 372411122175 6 03170123132423323222333222443334344433222223222322222221112312221222112223322332233333 50323282998998  20.503854 6766.2717741.069767  19.166646132     9.333972     9.226052    10.642012     9.483902311050.000005.0 2 14PUB05OCT2012
840 528  411 143424211183 6153200121111112111111111112444433333333332322322322122222211211111111311113333222322233 50210282998998  18.880858 2643.3201661.069767  17.649498032    13.535631    13.486361    10.642012     9.213092311143.750005.0 1 44PUB05OCT2012
840 529 1245 368413113180 7302100111122111111111111111433343333343321113322222222222212211111111212123333333333232 50159282998998  17.889613 6708.6048311.069767  16.722899133    12.772281    12.675271    12.687052     9.213092321350.000005.5 2 45PUB05OCT2012
840 530  8259999414113180 6 03 60221111112222113231111444433333433332334522112131122111111111111111123333333333232 50300282998998  16.226406 7009.8073321.069767  15.168162033    11.561581    11.739441     8.410613    10.783192391080.000005.0 2 45PUB05OCT2012
840 531  960 480424332180 6 03100122311321222221222223444433343332411223333222232321111111121112222223333333333232 50447282998998  15.064937 5438.4422151.069767  14.082441034    10.072512    10.185092    10.642012     9.213092321080.000005.0 1 65PUB05OCT2012
840 532 1297 427412113192 9 03105123444344444434444434444333343343333343453444344343323411111111441113333333333332 50370282998998  12.916688 1808.3362741.069767  12.074295134     6.284503     6.233463     7.609453     6.335913321728.000005.0 2 45PUB05OCT2012
840 533  824 299411643180 5 03250221112321111111111111444444444444422233333234142222113211121112112223233332233233 50237282998998  21.883318 5974.1457891.069767  20.456145035    11.874491    11.739441     9.141663     8.53506231 900.000005.0 1 25PUB05OCT2012
840 534  796 368412212187 7303150111112212113312111211442344443323421232534222121111112211111111112122222222222222 50075282998998  12.847119 4136.7721761.069767  12.009263135    11.874491    10.913472     9.881652    11.164732311402.500005.0 1 25PUB05OCT2012
840 535  454 454411113180 6 03 75221221121323321323324444944443233222223444122111121111112121212112222222333332222 50187282998998  15.033288 5411.9836131.069767  14.052856036     9.941222    10.185092     9.141663    11.586972331080.000005.0 1 25PUB05OCT2012
840 537  774 264412133180 5553184111111111111112111111444424333344411113522222121131111111121112122223333332322333 50325282998998  17.078389 4508.6946901.069767  15.964581136    13.535631    15.229491    12.687052    10.427932311065.000005.0 1 45PUB05OCT2012
840 538 1142 413421213180 5433100123211121443321443312444344444343422323433222222231211112121212222293333332222112 50356282998998  18.490556 6656.6000931.069767  17.284650137     9.813672     9.618012     9.141663     9.213092321029.000005.0 1 34PUB05OCT2012
840 539 1023 346433112180 7303 50212211131333321333322443443344443222213312222232232211112111211422223323322333122 50011282998998  19.236143 6925.0115051.069767  17.981612037     9.941222     9.889872    11.374092     8.740132231350.000005.0 1 54PUB05OCT2012
840 540 1150 400414913180 6303 90111221222222212222211444433444444432333433233232221112311121112332223333222332232 50455282998998  19.877348 5168.1104201.069767  18.580999038    10.681252    10.518992     8.410613     8.965382321170.000005.0 1 65PUB05OCT2012
840 541  951 323413223180 6403150121111111221111211111444434444444411223311122112222111211111111222223333332333333 50402282998998  21.046604 5051.1848601.069767  19.673999138    13.535631    12.675271    12.046002    10.427932311200.000005.0 1 45PUB05OCT2012
840 542  941 302412212185 7 03180123231421112241132223433344244243333323543212122121213111111112122222233322322222 50397282998998  21.618867 7955.7430991.069767  20.208941139     9.690792     9.751782     8.410613    10.427932311295.000005.0 1 34PUB05OCT2012
840 543  762 256415312177 7203 42112111133433313333333944432332223233333333223132232314311121112332222223333323122 50236282998998  22.362016 4919.6436021.069767  20.903624039     9.570882     9.751782     7.609453     8.535062331298.000005.0 1 25PUB05OCT2012
840 544  793 248412423177 6 44100121111122111122111122443333444444422324533222221221112211121112121113333333333222 50282282998998  23.308941 5034.7313311.069767  21.788793040    11.874491    12.140351     8.410613    10.093192311073.800004.5 1 45PUB05OCT2012
840 545  924 275411223180 7 03170121411112211112211111444433343341232234534223232232212212121212232223333332222233 50005282998998  23.773572 4326.7901721.069767  22.223122140    11.561581    11.417821     7.609453     8.535062311260.000005.0 1 25PUB05OCT2012
840 546  485 251311422180 7153300111112111111112111111444422444444431113443222131131211111111111112223211331222123 50317282998998  24.933258 5385.5837381.069767  23.307176041    12.772281    13.486361    12.046002     9.778222311305.000005.0 1 15PUB05OCT2012
840 547  920 273412542180 7303 60111131211443411443414444432443422122212322111111111111212121212222223233333322122 50094282998998  26.116223 6267.8935031.069767  24.412991141     9.570882     9.751782    12.046002    13.963371321350.000005.0 1 34PUB05OCT2012
840 548  859 258421542180 5393 79122111221222211222223443322333333423222333233221122112211121112212223333333323232 50297282998998  27.735834 5491.6950771.069767  25.926975142    10.513752    10.913472     9.881652     9.483902321017.000005.0 1 24PUB05OCT2012
840 549  628 196412623185 6303130211121111221111921111444444344443322223433322222122112112111211212223333332223222 50239282998998  30.711781 4299.6493761.069767  28.708839042    12.653141    12.140351     9.881652     9.483902311202.500005.0 1 34PUB05OCT2012
840 551  715 205414233180 6303180121111111111111111111444433444444422223323111121121111111121112322223333333333232 50401282998998  37.270027 9056.6165441.069767  34.839373043    15.146561    15.229491     9.881652    12.083621311170.000005.0 1 45PUB05OCT2012
840 552  462 151421123180 6503 75121111111332231322233444433232441222223333223222232111111121112112222323333222323 50023282998998  45.578631 6700.0588221.069767  42.606112143    10.681252    10.705842     9.881652     8.965382311230.000005.0 1 34PUB05OCT2012
840 553  310  66431412190 7303 53221133334321414421412444444444444411112211111211121111111121112112223333333333323 50440282998998  95.411268 6297.1436881.069767  89.188794044     9.333972     9.355172    14.165461    12.083621211425.000005.0 7 24PUB05OCT2012
840 55499998999888888899898988998888888888888888888888888888888888888888888888888888888888888888888888888888888888100008282998998 121.285511 5336.5624671.069767 113.375586144999998.000008999998.000008999998.000008999998.000008999999.000009.098985PUB05OCT2012
840 555  266  85414543187 7303 85212244421113221123232434333442233122335543221211221112211111211112222232222222222 50039282998998  78.635661 6605.3954951.069767  73.507248145     9.333972     9.485012     7.609453    10.783192311402.500005.0 1 35PUB05OCT2012
840 556  348 104411543175 6303 25123121234323314223314444433444444432324433222222222211312121212112223333333333222 50351282998998  63.326063 5066.0850081.069767  59.196102045     9.453042     9.485012     8.410613     9.213092321137.500005.0 1 25PUB05OCT2012
840 558  456 168421433175 6473200111111111111111111111434442444243432223422222191121111211111111332223333222223222 50099282998998  45.578631 6016.3793501.069767  42.606112046    15.146561    15.229491    10.642012    10.914662311187.083335.0 1 14PUB05OCT2012
840 559  535 181411543175 7 53 65112221111222211222222444444222221132333333232221232112212121212122222222333322222 50199282998998  40.890544 8832.3574141.069767  38.223769146    10.681252    10.913472     8.410613     9.213092321239.583335.0 1 24PUB05OCT2012
840 56099998999888888899898988998888888888888888888888888888888888888888888888888888888888888888888888888888888888100009282998998  36.696641 6385.2155701.069767  34.303382047999998.000008999998.000008999998.000008999998.000008999999.000009.098985PUB05OCT2012
840 561  565 184411543187 6201120221121221112111111111444444344444422333433223233232312311121112112223233322233233 50162282998998  33.283000 5990.9400841.069767  31.112370147    12.261441    11.739441     8.410613     8.172923311184.333336.0 1 15PUB05OCT2012
840 562  644 218411543180 6113123121211121112111212122443443232223321213422121111121111211111111222223232333332323 50156282998998  30.711781 6756.5918761.069767  28.708839148    11.297701    12.140351    12.046002    12.083621311113.000005.0 1 24PUB05OCT2012
840 56399998999888888899898988998888888888888888888888888888888888888888888888888888888888888888888888888888888888 50170282998998  28.509343 5188.7004221.069767  26.650038048999998.000008999998.000008999998.000008999998.000008999999.000009.098984PUB05OCT2012
840 564  523 259414433176 6303150122211111234321232233343422232223132234432223132232211211111111222223333222122222 50265282998998  27.003190 6669.7878271.069767  25.242112049    10.357512    10.185092     9.141663     8.740132311144.000005.0 1 44PUB05OCT2012
